Race Date,Race Class,Race Distance,Place,Horse No,Horse Name,Jockey,Trainer,Actual Weight,Declared Weight,Draw,LBW,Running Position,Finish Time,Win Odds
2024/07/10,第五班,1000,10,4,會展二號 (H371),鍾易禮,告東尼,130,1130,10,6-3/4,"2                                                        

2                                                        

102210",0:57.91,27
2024/07/10,第五班,1000,11,2,勁無敵 (H199),梁家俊,羅富全,134,1023,8,11-1/4,"5                                                        

6                                                        

115611",0:58.62,17
2024/07/10,第五班,1000,12,6,智勁駒 (G285),班德禮,文家良,129,1162,5,14-3/4,"7                                                        

9                                                        

127912",0:59.19,7.1
2024/07/06,新馬賽,1200,1,4,聖托里尼 (J076),田泰安,羅富全,126,1076,1,-,"3                                                        

4                                                        

1341",1:09.65,4.4
2024/07/06,新馬賽,1200,2,1,精英勇士 (J306),希威森,呂健威,128,1040,4,短馬頭位,"7                                                        

7                                                        

2772",1:09.67,2.3
2024/07/06,新馬賽,1200,3,2,加州星皓 (J132),鍾易禮,巫偉傑,123,1131,11,1/2,"12                                                        

11                                                        

312113",1:09.72,138
2024/07/06,新馬賽,1200,4,9,嘉應駿馬 (J439),潘頓,大衛希斯,121,1215,10,1/2,"1                                                        

1                                                        

4114",1:09.75,3.4
2024/07/06,新馬賽,1200,5,10,錶之宇宙 (J357),霍宏聲,文家良,123,1236,8,1-1/2,"2                                                        

2                                                        

5225",1:09.88,11
2024/07/06,新馬賽,1200,6,3,加州活力 (J131),艾道拿,告東尼,126,1090,7,1-1/2,"9                                                        

8                                                        

6986",1:09.88,14
2024/07/06,新馬賽,1200,7,12,紅旺繽紛 (J255),巴度,葉楚航,121,1063,3,3,"11                                                        

10                                                        

711107",1:10.13,139
2024/07/06,新馬賽,1200,8,7,志在福星 (J369),蔡明紹,韋達,121,1051,6,4-1/2,"6                                                        

6                                                        

8668",1:10.36,44
2024/07/06,新馬賽,1200,9,6,喆喆友福 (J345),湯普新,鄭俊偉,121,1112,5,4-3/4,"4                                                        

5                                                        

9459",1:10.41,30
2024/07/06,新馬賽,1200,10,8,飛黃 (J406),梁家俊,容天鵬,121,1105,9,5,"5                                                        

3                                                        

105310",1:10.46,90
2024/07/06,新馬賽,1200,11,11,風雲 (J371),班德禮,丁冠豪,121,1188,2,5-3/4,"8                                                        

9                                                        

118911",1:10.56,46
2024/07/06,新馬賽,1200,12,5,黃金見聞 (J165),楊明綸,蘇偉賢,126,1039,12,6,"10                                                        

12                                                        

12101212",1:10.60,166
2024/07/04,第五班,1650,1,1,小神仙 (H206),霍宏聲,姚本輝,135,1107,2,-,"6                                                        

7                                                        

7                                                        

16771",1:40.33,5.9
2024/07/04,第五班,1650,2,7,喜勝威龍 (G395),布文,大衛希斯,131,1113,10,1-1/4,"2                                                        

5                                                        

4                                                        

22542",1:40.54,8.5
2024/07/04,第五班,1650,3,2,馬有運 (H121),巴度,伍鵬志,135,1130,3,2-1/4,"8                                                        

8                                                        

6                                                        

38863",1:40.70,6.2
2024/07/04,第五班,1650,4,4,星運皇爵 (H489),艾道拿,方嘉柏,134,1067,1,2-1/2,"4                                                        

4                                                        

3                                                        

44434",1:40.75,2.9
2024/07/04,第五班,1650,5,10,星雲浩騰 (G372),希威森,葉楚航,124,1133,5,3-1/4,"1                                                        

1                                                        

1                                                        

51115",1:40.84,27
2024/07/04,第五班,1650,6,11,最佳拍檔 (H261),楊明綸,巫偉傑,116,1140,4,6-3/4,"11                                                        

11                                                        

10                                                        

61111106",1:41.42,18
2024/07/04,第五班,1650,7,9,焦點 (H173),陳嘉熙,鄭俊偉,122,1044,6,8-1/2,"3                                                        

2                                                        

2                                                        

73227",1:41.68,31
2024/07/04,第五班,1650,8,8,豐盛多彩 (G301),艾兆禮,韋達,130,1109,9,9-3/4,"9                                                        

9                                                        

11                                                        

899118",1:41.88,11
2024/07/04,第五班,1650,9,3,星火燎原 (J150),田泰安,徐雨石,135,1151,12,10-1/4,"10                                                        

10                                                        

9                                                        

9101099",1:41.96,39
2024/07/04,第五班,1650,10,12,恆駿之寶 (E311),湯普新,蘇偉賢,115,1087,7,22-1/4,"7                                                        

6                                                        

8                                                        

1076810",1:43.88,28
2024/07/04,第五班,1650,11,5,俏郎中 (G389),何澤堯,呂健威,133,1141,11,24-1/4,"5                                                        

3                                                        

5                                                        

1153511",1:44.22,8.1
2024/07/04,第五班,1650,12,6,傲龍駒 (D164),周俊樂,容天鵬,131,1100,8,24-3/4,"12                                                        

12                                                        

12                                                        

1212121212",1:44.31,40
2024/07/01,第四班,1000,1,5,最好玩 (H442),潘頓,葉楚航,128,1138,9,-,"9                                                        

9                                                        

1991",0:56.22,15
2024/07/01,第四班,1000,2,6,多彩多姿 (J312),楊明綸,蘇偉賢,128,1170,5,3/4,"8                                                        

7                                                        

2872",0:56.32,13
2024/07/01,第四班,1000,3,2,不可擋 (E336),希威森,韋達,133,1130,7,3/4,"2                                                        

1                                                        

3213",0:56.33,7.2
2024/07/01,第四班,1000,4,7,皇龍飛將 (J279),田泰安,姚本輝,128,1051,10,3/4,"5                                                        

5                                                        

4554",0:56.36,3.8
2024/07/01,第四班,1000,5,9,精彩駿將 (J417),艾兆禮,方嘉柏,128,1148,2,1,"12                                                        

8                                                        

51285",0:56.37,11
2024/07/01,第四班,1000,6,1,精彩勇士 (D387),梁家俊,大衛希斯,135,1190,4,1,"3                                                        

3                                                        

6336",0:56.40,9.2
2024/07/01,第四班,1000,7,12,小小吾駒 (H406),布文,羅富全,127,1083,11,2-1/4,"11                                                        

10                                                        

711107",0:56.58,15
2024/07/01,第四班,1000,8,8,天下寵兒 (J359),何澤堯,呂健威,128,1090,13,2-1/2,"13                                                        

13                                                        

813138",0:56.61,12
2024/07/01,第四班,1000,9,14,勇冠皇子 (H268),巴度,黎昭昇,117,1177,8,2-1/2,"10                                                        

12                                                        

910129",0:56.63,52
2024/07/01,第四班,1000,10,3,運來勇士 (H229),潘明輝,伍鵬志,129,1124,3,3-1/4,"6                                                        

6                                                        

106610",0:56.75,23
2024/07/01,第四班,1000,11,4,超音速 (J192),湯普新,廖康銘,130,1057,6,5-1/2,"4                                                        

4                                                        

114411",0:57.12,80
2024/07/01,第四班,1000,12,11,銳高 (J375),周俊樂,文家良,126,1159,12,7-1/2,"7                                                        

11                                                        

1271112",0:57.41,90
